Family,Genus ,Species,Common Name,Mean Mass (g),Max published length (cm),Calculated mass (g),,% BM,Alternate species used,a value,b value,Link,,,Aspect ratio of the caudal fin,congener,a,b,Calculated mass
Pleuronectidae,Platichthys,flesus,European flounder,494,60,1700,,29.06,,,,,,,round,,,,
Pleuronectidae,Pleuronectes,platessa,European plaice,572,100,11100,,5.15,,,,,,,round,,,,
Paralichthyidae,Paralichthys,dentatus,summer flounder,569,94,7700,,7.39,,,,,,,round,,,,
Paralichthyidae,Paralichthys,dentatus,summer flounder,569,94,7700,,7.39,,,,,,,round,,,,
Gadidae,Gadus,morhua,Atlantic cod,124,200,74300,,0.17,,,,,,,round,,,,
Gadidae,Gadus,morhua,Atlantic cod,158,200,74300,,0.21,,,,,,,round,,,,
Gadidae,Gadus,morhua,Atlantic cod,167,200,74300,,0.22,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Latidae,Lates,calcarifer,Australian barramundi,194,200,102900,,0.19,,,,,,,round,,,,
Gobiidae,Gobius,cobitis,Giant goby,124.5,14.1,43.47,35.43810582,286.40,,0.01023,3.08,https://www.fishbase.se/popdyn/FishLWSummary.php?ID=4579&id2=6462&genusname=Gobius&speciesname=cobitis&fc=405&variable_Length=10&gm_a=0.011227721649931&gm_b=3.0786729158511,,,round,,,,
Scyliorhinidae,Scyliorhinus,canicula,Small-spotted catshark,805,100,3600,,22.36,,,,,,,round,,,,
Scyliorhinidae,Scyliorhinus,canicula,Small-spotted catshark,805,100,3600,,22.36,,,,,,,round,,,,
Scyliorhinidae,Scyliorhinus,canicula,Small-spotted catshark,805,100,3600,,22.36,,,,,,,round,,,,
Batrachoididae,Porichthys,notatus,Plainfin midshipman,171,38,520.82,,32.83,,,,,,,round,,,,
Acipenseridae,Acipenser,transmontanus,White sturgeon,0.2,610,1500000,,0.00,,,,,,,cresent,,,,
Acipenseridae,Acipenser,transmontanus,White sturgeon,1.9,610,1500000,,0.00,,,,,,,cresent,,,,
Acipenseridae,Acipenser,transmontanus,White sturgeon,63.1,610,1500000,,0.00,,,,,,,cresent,,,,
Cottidae,Cottus,asper,Prickly sculpin,11.4,30,796.32,,1.43,Cottus dzungaricus,,,,,,round,Cottus gobio,0.0066,3.304,501.1324909
Cottidae,Cottus,asper,Prickly sculpin,12.6,30,796.32,,1.58,Cottus dzungaricus,,,,,,round,,,,
Cottidae,Cottus,asper,Prickly sculpin,11.2,30,796.32,,1.41,Cottus dzungaricus,,,,,,round,,,,
Cottidae,Leptocottus,armatus,Pacific staghorn sculpin,30,46,2000,,1.50,,,,,,,round,,,,
Cottidae,Leptocottus,armatus,Pacific staghorn sculpin,42,46,2000,,2.10,,,,,,,round,,,,
Cottidae,Leptocottus,armatus,Pacific staghorn sculpin,32.5,46,2000,,1.63,,,,,,,round,,,,
Anguillidae,Anguilla,anguilla,European eel ,496,122,3700,,13.41,,,,,,,round,,,,
Clariidae,Clarias,batrachus,Walking catfish,110,47,915.85,,12.01,,,,,,,round,,,,
Acipenseridae,Acipenser,naccarii,Adriatic sturgeon,568,200,51800,,1.10,Acipenser fulvescens ,,,,,,cresent,Accipenser sturio,0.0041,3.04,40542.92178
Acipenseridae,Acipenser,naccarii,Adriatic sturgeon,565,200,51800,,1.09,Acipenser fulvescens ,,,,,,cresent,,,,
Soleidae,Solea,solea,Dover sole,0.00096,70,3500,,0.0000,,,,,,,round,,,,
Soleidae,Solea,solea,Dover sole,0.00571,70,3500,,0.00,,,,,,,round,,,,
Soleidae,Solea,solea,Dover sole,0.00096,70,3500,,0.00,,,,,,,round,,,,
Soleidae,Solea,solea,Dover sole,0.00096,70,3500,,0.00,,,,,,,round,,,,
Soleidae,Solea,solea,Dover sole,0.00096,70,3500,,0.00,,,,,,,round,,,,
Soleidae,Solea,solea,Dover sole,0.00096,70,3500,,0.00,,,,,,,round,,,,
Soleidae,Solea,solea,Dover sole,0.00571,70,3500,,0.00,,,,,,,round,,,,
Soleidae,Solea,solea,Dover sole,0.00571,70,3500,,0.00,,,,,,,round,,,,
Soleidae,Solea,solea,Dover sole,0.00571,70,3500,,0.00,,,,,,,round,,,,
Soleidae,Solea,solea,Dover sole,0.00571,70,3500,,0.00,,,,,,,round,,,,
Acipenseridae,Acipenser,baerii,Siberian sturgeon,1800,200,46700,210000,3.85,,0.0015,3.256,"Kottelat, M. and J. Freyhof, 2007. Handbook of European freshwater fishes. Publications Kottelat, Cornol and Freyhof, Berlin. 646 pp.",,,cresent,,,,
Stichaeidae,Lumpeninae,Lumpenus,Snakeblenny,9.5,50,1600,155.0636574,0.59,Chirolophis japonicus,0.00129,2.99,https://www.fishbase.de/summary/Lumpenus-lampretaeformis.html,,,round,Lumpenus lampretaeformis,0.0063,2.448,90.8697054
Loricariidae,Hypostomus,plecostomus,Suckermouth catfish,40.5,50,1900,1510.404861,2.13,Hypostomus albopunctatus ,0.01413,2.96,,,,cresent,Hypostomus affinis,0.0112,2.88,875.4908977
Loricariidae,Hypostomus,plecostomus,Suckermouth catfish,22,50,1900,1510.404861,1.16,Hypostomus albopunctatus ,0.01413,2.96,,,,cresent,,,,
Loricariidae,Hypostomus,plecostomus,Suckermouth catfish,55.5,50,1900,1510.404861,2.92,Hypostomus albopunctatus ,0.01413,2.96,,,,cresent,,,,
Cichlidae,Pseudocrenilabrus,multicolor,Egyptian mouthbrooder ,2.78,8,7.03,7.114517228,39.54,Pseudocrenilabrus philander ,0.01479,2.97,,,,round,Amatitlania nigrofasciata,0.02205,3,11.2896
Cichlidae,Pseudocrenilabrus,multicolor,Egyptian mouthbrooder ,2.78,8,7.03,7.114517228,39.54,Pseudocrenilabrus philander ,0.01479,2.97,,,,round,,,,
Cichlidae,Pseudocrenilabrus,multicolor,Egyptian mouthbrooder ,2.78,8,7.03,7.114517228,39.54,Pseudocrenilabrus philander ,0.01479,2.97,,,,round,,,,
Cichlidae,Pseudocrenilabrus,multicolor,Egyptian mouthbrooder ,2.78,8,7.03,7.114517228,39.54,Pseudocrenilabrus philander ,0.01479,2.97,,,,round,,,,
Fundulidae,Fundulus,heteroclitus,Common killifish,3.1,15,59.33,,5.23,,,,,,,round,,,,
Hemiscylliidae,Hemiscyllium,ocellatum,Epaulette shark,1290,107,14600,,8.84,Chiloscyllium indicum ,,,,,,cresent,Chiloscyllium plagiosum,0.0072,3,8820.3096
Rhinobatidae,Aptychotrema,rostrata,Shovelnose ray,1540,100,3400,,45.29,,,,,,,NA,,,,
Cichlidae,Astronotus,ocellatus,Oscar,230,45.7,4200,,5.48,Astronotus crassipinnis ,,,,,,round,Astronotus ocellatus,0.027,3,2576.987811
Cichlidae,Astronotus,ocellatus,Oscar,16.2,45.7,4200,,0.39,Astronotus crassipinnis ,,,,,,round,,,,
Cichlidae,Astronotus,ocellatus,Oscar,230,45.7,4200,,5.48,Astronotus crassipinnis ,,,,,,round,,,,
Cichlidae,Astronotus,ocellatus,Oscar,16.2,45.7,4200,,0.39,Astronotus crassipinnis ,,,,,,round,,,,
Gadidae,Gadus,ogac,Greenland cod,183,119,23000,,0.80,Boreogadus saida ,,,,,,round,Gadus macrocephalus,0.0063,3.15,21742.70021
Gobiesocidae,Gobiesox,strumosus,Skilletfish,61.5,8,7.06,3.95172718,871.10,,0.00589,3.13,https://www.fishbase.se/popdyn/LWRelationshipList.php?ID=3079&GenusName=Gobiesox&SpeciesName=strumosus&fc=434,,,round,,,,
Gobiesocidae,Gobiesox,strumosus,Skilletfish,61.5,8,7.06,7.063031939,871.10,,0.0128,3.036,https://www.fishbase.se/popdyn/LWRelationshipList.php?ID=3079&GenusName=Gobiesox&SpeciesName=strumosus&fc=434,,,round,,,,
Gobiesocidae,Gobiesox,strumosus,Skilletfish,61.5,8,7.06,7.063031939,871.10,,0.0128,3.036,https://www.fishbase.se/popdyn/LWRelationshipList.php?ID=3079&GenusName=Gobiesox&SpeciesName=strumosus&fc=434,,,round,,,,
Percidae,Etheostoma,rufilineatum,Redline darter,4.3,8.4,5.64,,76.24,Etheostoma zonale ,,,,,,round,Etheostoma juliae,0.0138,3.16,11.49745267
Percidae,Etheostoma,flabellare,Fantail darter,1.1,8.4,1.33,,82.71,,,,,,,round,,,,
Percidae,Etheostoma,flabellare,Fantail darter,1.4,8.4,1.33,,105.26,,,,,,,round,,,,
Percidae,Etheostoma,duryi,Black darter,2,7.2,3.74,,53.48,Etheostoma zonale ,,,,,,round,,,,
Percidae,Etheostoma,duryi,Black darter,1.7,7.2,3.74,,45.45,Etheostoma zonale ,,,,,,round,,,,
Percidae,Etheostoma,squamiceps,Spottail darter,1.4,8.8,5.64,,24.82,Etheostoma zonale ,,,,,,cresent,,,,
Percidae,Etheostoma,squamiceps,Spottail darter,1.7,8.8,5.64,,30.14,Etheostoma zonale ,,,,,,cresent,,,,
Percidae,Etheostoma,boschungi,Slackwater darter,1.1,8.8,5.64,,19.50,Etheostoma zonale ,,,,,,cresent,,,,
Percidae,Etheostoma,boschungi,Slackwater darter,1.2,8.8,5.64,,21.28,Etheostoma zonale ,,,,,,cresent,,,,
Percidae,Etheostoma,fusiforme,Swamp darter,0.24,5.9,1.33,,18.05,Etheostoma zonale ,,,,,,round,,,,
Percidae,Etheostoma,fusiforme,Swamp darter,0.6,5.9,1.33,,45.11,Etheostoma zonale ,,,,,,round,,,,
Batrachoididae,Opsanus,tau,Toadfish,361,43.2,1000,,36.10,,,,,,,round,,,,
Galaxiidae,Galaxias,maculatus,Inanga,2.3,19,64.88,,3.55,,,,,,,cresent,,,,
Nototheniidae,Trematomus,centronotus ,-,183.3,24,185.15,,99.00,Trematomus eulepidotus ,,,,,,round,Trematomus pennellii,0.005,3.29,173.7260677
Nototheniidae,Pagothenia,borchgrevinki , bald notothen,108.3,28,321.65,,33.67,Trematomus eulepidotus ,,,,,,round,Gobionotothen acuta,0.00445,3.35,313.5735451
Salmonidae,Salmo,salar,Atlantic salmon,150.7,150,14300,,1.05,,,,,,,cresent,,,,
Salmonidae,Salmo,salar,Atlantic salmon,150.7,150,14300,,1.05,,,,,,,cresent,,,,
Salmonidae,Salmo,salar,Atlantic salmon,150.7,150,14300,,1.05,,,,,,,cresent,,,,
Clariidae,Clarias,gariepinus,African catfish,520,170,42400,,1.23,,,,,,,round,,,,
Sparidae,Dentex,dentex,Common dentex,251.2,100,29600,,0.85,,,,,,,cresent,,,,
Sparidae,Dentex,dentex,Common dentex,656.4,100,29600,,2.22,,,,,,,cresent,,,,
Sparidae,Dentex,dentex,Common dentex,255.1,100,29600,,0.86,,,,,,,cresent,,,,
Sparidae,Dentex,dentex,Common dentex,350.8,100,29600,,1.19,,,,,,,cresent,,,,
Sparidae,Dentex,dentex,Common dentex,601.7,100,29600,,2.03,,,,,,,cresent,,,,
Sparidae,Dentex,dentex,Common dentex,117.4,100,29600,,0.40,,,,,,,cresent,,,,
Sparidae,Dentex,dentex,Common dentex,745.1,100,29600,,2.52,,,,,,,cresent,,,,
Sparidae,Dentex,dentex,Common dentex,117.1,100,29600,,0.40,,,,,,,cresent,,,,
Fundulidae,Fundulus,heteroclitus,Mummichog,1.75,15,59.33,,2.95,,,,,,,round,,,,
Fundulidae,Fundulus,heteroclitus,Mummichog,1.75,15,59.33,,2.95,,,,,,,round,,,,
Sciaenidae,Leiostomus,xanthurus,Spot croaker,1.55,36,556.19,,0.28,,,,,,,cresent,,,,
Sciaenidae,Leiostomus,xanthurus,Spot croaker,1.55,36,556.19,,0.28,,,,,,,cresent,,,,
Embiotocidae,Embiotoca,lateralis,Striped surfperch,113,38,2100,,5.38,Embiotoca jacksoni ,,,,,,cresent,Amphistichus rhodoterus,0.012,3.11,982.4449656
Sparidae,Pagrus,auratus,Australasian snapper,225,130,20500,,1.10,,,,,,,cresent,,,,
Sparidae,Pagrus,auratus,Australasian snapper,225,130,20500,,1.10,,,,,,,cresent,,,,
Labridae,Tautogolabrus,adspersus,Cunner,98,38,596.82,,16.42,,,,,,,round,,,,
Labridae,Tautogolabrus,adspersus,Cunner,135.6,38,596.82,,22.72,,,,,,,round,,,,
Gadidae,Gadus,ogac,Greenland cod,50.9,119,23000,,0.22,Boreogadus saida ,,,,,,round,,,,
Gadidae,Gadus,ogac,Greenland cod,74.3,119,23000,,0.32,Boreogadus saida ,,,,,,round,,,,
Anguillidae,Anguilla,anguilla,European eel,116,122,3700,,3.14,,,,,,,round,,,,
Anguillidae,Anguilla,anguilla,European eel,107,122,3700,,2.89,,,,,,,round,,,,
Anguillidae,Anguilla,anguilla,European eel,122,122,3700,,3.30,,,,,,,round,,,,
Cyprinidae,Spinibarbus,sinensis,Qingbo,11.85,47.1,3200,,0.37,,,,,,,cresent,,,,
Cyprinidae,Spinibarbus,sinensis,Qingbo,11.99,47.1,3200,,0.37,,,,,,,cresent,,,,
Cyprinidae,Spinibarbus,sinensis,Qingbo,13.6,47.1,3200,,0.43,,,,,,,cresent,,,,
Cyprinidae,Cyprinus,carpio,Common carp,25,120,20600,,0.12,,,,,,,cresent,,,,
Cyprinidae,Cyprinus,carpio,Common carp,25,120,20600,,0.12,,,,,,,cresent,,,,
Cyprinidae,Cyprinus,carpio,Common carp,25,120,20600,,0.12,,,,,,,cresent,,,,
Cichlidae,Astronotus,ocellatus,Oscar,980,45.7,4200,,23.33,Astronotus crassipinnis ,,,,,,round,,,,
Cichlidae,Astronotus,ocellatus,Oscar,980,45.7,4200,,23.33,Astronotus crassipinnis ,,,,,,round,,,,
Cyprinidae,Carassius,auratus,Goldfish,4.88,48,2000,,0.24,,,,,,,cresent,,,,
Cyprinidae,Carassius,auratus,Goldfish,5.1,48,2000,,0.26,,,,,,,cresent,,,,
Cyprinidae,Carassius,auratus,Goldfish,4.83,48,2000,,0.24,,,,,,,cresent,,,,
Cyprinidae,Schizothorax,prenanti,Mountain carp,8.72,33.5,591.39,,1.47,,,,,,,cresent,,,,
Cyprinidae,Onychostoma,simum,Sharp-jaw barbell,3.92,36.5,1300,,0.30,,,,,,,cresent,,,,
Cyprinidae,Spinibarbus,sinensis,Qingbo,6.61,47.1,,,#DIV/0!,,,,,,,cresent,,,,
Cyprinidae,Zacco,platypus,"Chinese hook
snout carp",6.79,20,114.9,,5.91,,,,,,,cresent,,,,
Cyprinidae,Hypophthalmichthys,molitrix,Silver carp,7.3,120,32500,,0.02,,,,,,,cresent,,,,
Cyprinidae,Parabramis,pekinensis,Chinese bream,9.05,55,1900,,0.48,,,,,,,cresent,,,,
Cyprinidae,Ctenopharyngodon,idellus,Grass carp,9.22,150,37600,,0.02,,,,,,,cresent,,,,
Cyprinidae,Ctenopharyngodon,piceus,Black carp,6.27,,,,,,,,,,,,,,,
Cyprinidae,Carassius,auratus,Gold fish,6.45,48,2000,,0.32,,,,,,,cresent,,,,
Cyprinidae,Carassius ,carassius,Crucian carp,8.6,64,5600,,0.15,,,,,,,cresent,,,,
Cyprinidae,Cyprinus ,carpio,Common carp,7.06,120,20600,,0.03,,,,,,,cresent,,,,
Cyprinidae,Aristichthys ,nobilis,Bighead carp,11.27,146,28800,,0.04,Cyprinus carpio ,,,,,,cresent,Hypophthalmichthys nobilis,0.028,2.86,43371.77528
Carangidae,Trachurus,capensis,Cape horse mackerel,0.008,60,1800,,0.00,,,,,,,cresent,,,,
Carangidae,Trachurus,capensis,Cape horse mackerel,20.8,60,1800,,1.16,,,,,,,cresent,,,,
Cyprinodontidae,Cyprinodon,variegatus,Sheepshead minnow,3.17,9,36.65,,8.65,,,,,,,round,,,,
Cyprinodontidae,Cyprinodon,variegatus,Sheepshead minnow,3.8,9,36.65,,10.37,,,,,,,round,,,,
Cyprinodontidae,Cyprinodon,variegatus,Sheepshead minnow,2.95,9,36.65,,8.05,,,,,,,round,,,,
Cyprinodontidae,Cyprinodon,variegatus,Sheepshead minnow,3.57,9,36.65,,9.74,,,,,,,round,,,,
Cyprinodontidae,Cyprinodon,variegatus,Sheepshead minnow,2.19,9,36.65,,5.98,,,,,,,round,,,,
Cyprinodontidae,Cyprinodon,variegatus,Sheepshead minnow,3.69,9,36.65,,10.07,,,,,,,round,,,,
Cyprinodontidae,Cyprinodon,variegatus,Sheepshead minnow,3.42,9,36.65,,9.33,,,,,,,round,,,,
Cyprinodontidae,Cyprinodon,variegatus,Sheepshead minnow,2.7,9,36.65,,7.37,,,,,,,round,,,,
Cyprinodontidae,Cyprinodon,variegatus,Sheepshead minnow,2.98,9,36.65,,8.13,,,,,,,round,,,,
Cyprinodontidae,Cyprinodon,variegatus,Sheepshead minnow,3.52,9,36.65,,9.60,,,,,,,round,,,,
Cyprinodontidae,Cyprinodon,variegatus,Sheepshead minnow,3.21,9,36.65,,8.76,,,,,,,round,,,,
Tripterygiidae,Bellapiscis,medius,Twister fish,2.37,7.5,2.62,,90.46,Bellapiscis lesleyae ,,,,,,round,nneanectes carminalis,0.00883,3.197,5.540278068
Tripterygiidae,Bellapiscis,medius,Twister fish,2.84,7.5,2.62,,108.40,Bellapiscis lesleyae ,,,,,,round,,,,
Tripterygiidae,Bellapiscis,medius,Twister fish,2.2,7.5,2.62,,83.97,Bellapiscis lesleyae ,,,,,,round,,,,
Tripterygiidae,Bellapiscis,lesleyae,Mottled twister,0.54,6,1.62,,33.33,,,,,,,round,,,,
Tripterygiidae,Bellapiscis,lesleyae,Mottled twister,0.59,6,1.62,,36.42,,,,,,,round,,,,
Tripterygiidae,Bellapiscis,lesleyae,Mottled twister,0.65,6,1.62,,40.12,,,,,,,round,,,,
Moronidae,Morone,saxatilis,Striped bass,1300,200,46200,,2.81,,,,,,,cresent,,,,
Moronidae,Morone,saxatilis,Striped bass,1300,200,46200,,2.81,,,,,,,cresent,,,,
Moronidae,Morone,saxatilis,Striped bass,1300,200,46200,,2.81,,,,,,,cresent,,,,
Moronidae,Morone,saxatilis,Striped bass,1300,200,46200,,2.81,,,,,,,cresent,,,,
Moronidae,Morone,saxatilis,Striped bass,1400,200,46200,,3.03,,,,,,,cresent,,,,
Moronidae,Morone,saxatilis,Striped bass,1400,200,46200,,3.03,,,,,,,cresent,,,,
Batrachoididae,Porichthys,notatus,Plainfin midshipman,155.72,38,520.82,,29.90,,,,,,,round,,,,
Batrachoididae,Porichthys,notatus,Plainfin midshipman,155.72,38,520.82,,29.90,,,,,,,round,,,,
Cichlidae,Oreochromis,niloticus,Nile tilapia,84,60,4200,,2.00,,,,,,,round,,,,
Cichlidae,Oreochromis,niloticus,Nile tilapia,84,60,4200,,2.00,,,,,,,round,,,,
Cichlidae,Oreochromis,niloticus,Nile tilapia,84,60,4200,,2.00,,,,,,,round,,,,
Cichlidae,Oreochromis,niloticus,Nile tilapia,84,60,4200,,2.00,,,,,,,round,,,,
Cichlidae,Oreochromis,niloticus,Nile tilapia,84,60,4200,,2.00,,,,,,,round,,,,
Cichlidae,Oreochromis,niloticus,Nile tilapia,84,60,4200,,2.00,,,,,,,round,,,,
Characidae,Brycon,amazonicus,Matrinx?,154.54,46.2,2300,,6.72,,,,,,,cresent,,,,
Characidae,Brycon,amazonicus,Matrinx?,154.54,46.2,2300,,6.72,,,,,,,cresent,,,,
Erythrinidae,Hoplias,malabaricus,Tra¡ra,246.32,65,6700,,3.68,,,,,,,cresent,,,,
Erythrinidae,Hoplias,malabaricus,Tra¡ra,246.32,65,6700,,3.68,,,,,,,cresent,,,,
Gobiidae,Gobiodon,histrio,Broad-barred goby,1.23,3.5,0.2,,612.50,Gobiodon rivulatus ,,,,,,round,,,,
Gobiidae,Gobiodon,erythrophyllus,-,1.06,5.4,1.41,,74.82,,,,,,,round,,,,
Apogonidae,Apogon,compressus,-,7,12,28.02,,24.98,Apogon imberbis ,,,,,,round,Ostorhinchus aureus,0.017,2.95,25.94380057
Apogonidae,Apogon,cyanosoma,-,2.2,8,7.95,,27.67,Apogon imberbis ,,,,,,cresent,,,,
